show_id,country
s1593,United States
s1594,United States
s1595,United States
s1596,United States
s1597,United States
s1598,United States
s1599,United States
s1600,United States
s1601,United States
s1602,United States
s1603,United States
s1604,United States
s1605,United States
s1606,United States
s1607,United States
s1608,United States
s1609,United States
s1610,United States
s1611,United States
s1612,United States
s1613,United States
s1614,United States
s1615,United States
s1616,United States
s1617,United States
s1618,United States
s1619,United States
s1620,United States
s1621,United States
s1622,United States
s1623,United States
s1624,United States
s1625,United States
s1626,India
s1627,United States
s1628,United States
s1629,United States
s1630,United States
s1631,United States
s1632,United States
s1633,United States
s1634,United States
s1635,United States
s1636,United States
s1637,United States
s1638,United States
s1639,United States
s1640,United States
s1641,United States
s1642,United States
s1643,United States
s1644,United States
s1645,United States
s1646,United States
s1647,United States
s1648,United States
s1649,United States
s1650,India
s1651,United States
s1652,India
s1653,United States
s1654,United States
s1655,United States
s1656,United States
s1657,United States
s1658,United States
s1659,United States
s1660,United States
s1661,United States
s1662,United States
s1663,United States
s1664,United States
s1665,United States
s1666,United States
s1667,United States
s1668,United States
s1669,United States
s1670,United States
s1671,United States
s1672,United States
s1673,United States
s1674,United States
s1675,United States
s1676,United States
s1677,India
s1678,United States
s1679,United States
s1680,United States
s1681,United States
s1682,United States
s1683,United States
s1684,United States
s1685,United States
s1686,United States
s1687,United States
s1688,United States
s1689,United States
s1690,United States
s1691,United States
s1692,United States
s1693,United States
s1694,United States
s1695,United States
s1696,United States
s1697,United States
s1698,United States
s1699,United States
s1700,United States
s1701,United States
s1702,United States
s1703,India
s1704,United States
s1705,United States
s1706,United States
s1707,United States
s1708,United States
s1709,United States
s1710,United States
s1711,United States
s1712,United States
s1713,United States
s1714,United States
s1715,India
s1716,United States
s1717,United States
s1718,United States
s1719,United States
s1720,United States
s1721,United States
s1722,United States
s1723,United States
s1724,United States
s1725,United States
s1726,United States
s1727,United States
s1728,United States
s1729,United States
s1730,United States
s1731,United States
s1732,United States
s1733,United States
s1734,United States
s1735,United States
s1736,United States
s1737,United States
s1738,United States
s1739,United States
s1740,United States
s1741,United States
s1742,United States
s1743,United States
s1744,United States
s1745,United States
s1746,United States
s1747,United States
s1748,United States
s1749,India
s1750,United States
s1751,United States
s1752,United States
s1753,United States
s1754,United States
s1755,United States
s1756,United States
s1757,United States
s1758,United States
s1759,United States
s1760,United States
s1761,United States
s1762,United States
s1763,United States
s1764,United States
s1765,United States
s1766,United States
s1767,United States
s1768,United States
s1769,United States
s1770,United States
s1771,United States
s1772,United States
s1773,United States
s1774,United States
s1775,India
s1776,United States
s1777,United States
s1778,United States
s1779,United States
s1780,United States
s1781,United States
s1782,United States
s1783,United States
s1784,India
s1785,United States
s1786,United States
s1787,United States
s1788,United States
s1789,United States
s1790,United States
s1791,United States
s1792,United States
s1793,United States
s1794,United States
s1795,United States
s1796,United States
s1797,United States
s1798,United States
s1799,United States
s1800,United States
s1801,United States
s1802,United States
s1803,United States
s1804,United States
s1805,United States
s1806,United States
s1807,United States
s1808,United States
s1809,United States
s1810,United States
s1811,"United Kingdom, Canada, United States"
s1812,United States
s1813,United States
s1814,United States
s1815,United States
s1816,United States
s1817,United States
s1818,United States
s1819,United States
s1820,United States
s1821,United States
s1822,United States
s1823,United States
s1824,United States
s1825,United States
s1826,United States
s1827,United States
s1828,United States
s1829,United States
s1830,United States
s1831,United States
s1832,United States
s1833,United States
s1834,United States
s1835,United States
s1836,United States
s1837,United States
s1838,United States
s1839,United States
s1840,United States
s1841,United States
s1842,United States
s1843,United States
s1844,United States
s1845,United States
s1846,United States
s1847,United States
s1848,United States
s1849,United States
s1850,United States
s1851,United States
s1852,United States
s1853,United States
s1854,United States
s1855,United States
s1856,United States
s1857,United States
s1858,United States
s1859,United States
s1860,United States
s1861,United States
s1862,United States
s1863,United States
s1864,United States
s1865,United States
s1866,United States
s1867,United States
s1868,United States
s1869,United States
s1870,United States
s1871,United States
s1872,United States
s1873,United States
s1874,United States
s1875,United States
s1876,United States
s1877,United States
s1878,United States
s1879,United States
s1880,United States
s1881,United States
s1882,United States
s1883,United States
s1884,United States
s1885,United States
s1886,United States
s1887,United States
s1888,United States
s1889,United States
s1890,United States
s1891,United States
s1892,United States
s1893,United States
s1894,United States
s1895,United States
s1896,United States
s1897,United States
s1898,India
s1899,United States
s1900,United States
s1901,United States
s1902,United States
s1903,United States
s1904,United States
s1905,United States
s1906,United States
s1907,United States
s1908,United States
s1909,United States
s1910,United States
s1911,United States
s1912,United States
s1913,United States
s1914,United States
s1915,United States
s1916,United States
s1917,United States
s1918,United States
s1919,United States
s1920,United States
s1921,United States
s1922,Germany
s1923,Germany
s1924,United States
s1925,United States
s1926,United States
s1927,United States
s1928,United States
s1929,United States
s1930,United States
s1931,United States
s1932,United States
s1933,United States
s1934,United States
s1935,United States
s1936,United States
s1937,United States
s1938,United States
s1939,United States
s1940,United States
s1941,United States
s1942,United States
s1943,United States
s1944,United States
s1945,United States
s1946,United States
s1947,United States
s1948,United States
s1949,United States
s1950,United States
s1951,United States
s1952,United States
s1953,United States
s1954,United States
s1955,United States
s1956,India
s1957,United States
s1958,United States
s1959,United States
s1960,United States
s1961,United States
s1962,United States
s1963,United States
s1964,United States
s1965,United States
s1966,India
s1967,India
s1968,United States
s1969,United States
s1970,United States
s1971,India
s1972,United States
s1973,United States
s1974,India
s1975,United States
s1976,United States
s1977,India
s1978,India
s1979,United States
s1980,United States
s1981,United States
s1982,United States
s1983,United States
s1984,United States
s1985,United States
s1986,United States
s1987,United States
s1988,United States
s1989,United States
s1990,United States
s1991,United States
s1992,United States
s1993,United States
s1994,United States
s1995,United States
s1996,United States
s1997,United States
s1998,United States
s1999,United States
s2000,United States
s2001,United States
s2002,United States
s2003,United States
s2004,United States
s2005,United States
s2006,United States
s2007,United States
s2008,United States
s2009,United States
s2010,United States
s2011,United States
s2012,United States
s2013,United States
s2014,United States
